nazwa_pliku,opis_zawar_zdj,id_zdj,szer,wys,sr_kolor,med_jasn_gray,x_max_gray,y_max_gray
stock-photo-adult-and-child-hands-holding-red-heart-heart-health-donation-happy-volunteer-charity-csr-1487364161.jpg,adult and child hands holding red heart heart health donation happy volunteer charity csr,1487364161,1500,1101,"(158.74056191341205, 164.24507296397215, 156.17867938237964)",194.0,81,1031
stock-photo-architect-team-having-a-discussion-1380294050.jpg,architect team having a discussion,1380294050,1500,945,"(89.41376084656085, 96.59588924162257, 105.74683245149912)",77.0,693,104
stock-photo-close-up-of-two-businessmen-shaking-hands-in-modern-city-with-double-exposure-of-business-people-1452180959.jpg,close up of two businessmen shaking hands in modern city with double exposure of business people,1452180959,1500,1101,"(188.63827974568574, 170.044600060551, 161.04649167423554)",190.0,440,728
stock-photo-close-up-top-view-of-young-business-people-putting-their-hands-together-stack-of-hands-unity-and-1498583432.jpg,close up top view of young business people putting their hands together stack of hands unity and,1498583432,1500,940,"(172.6464964539007, 159.3283574468085, 150.33435106382979)",184.0,834,57
stock-photo-closeup-view-of-woman-with-drawn-flowers-on-green-chalkboard-space-for-text-teacher-s-day-1508523470.jpg,closeup view of woman with drawn flowers on green chalkboard space for text teacher s day,1508523470,1500,1101,"(56.331945504087194, 72.42483015440509, 35.41184741144414)",52.0,977,314
stock-photo-happy-dussehra-greeting-card-green-leaf-rice-1497972686.jpg,happy dussehra greeting card green leaf rice,1497972686,1500,1101,"(33.11795458673933, 156.80598910081744, 208.3631207992734)",176.0,81,1031
stock-photo-happy-family-mother-father-children-son-and-daughter-on-nature-on-sunset-1438256546.jpg,happy family mother father children son and daughter on nature on sunset,1438256546,1500,1024,"(121.89294791666667, 153.86528190104167, 173.92403125)",161.0,411,255
stock-photo-hurricane-dorian-in-the-carribean-sea-on-its-way-to-us-mainland-in-august-elements-of-this-1492317566.jpg,hurricane dorian in the carribean sea on its way to us mainland in august elements of this,1492317566,1500,1101,"(102.3557838328792, 89.27925340599455, 82.22452861035423)",61.0,281,242
stock-photo-lipstick-smear-smudge-swatch-isolated-on-white-background-cream-makeup-texture-bright-red-color-1471402472.jpg,lipstick smear smudge swatch isolated on white background cream makeup texture bright red color,1471402472,1500,915,"(172.82903023679418, 170.2532204007286, 217.7615548269581)",255.0,0,0
stock-photo-nature-shots-for-the-pros-1506854450.jpg,nature shots for the pros,1506854450,1500,1101,"(109.11656433545262, 102.58370330003028, 90.36532303966091)",77.0,81,1031
stock-photo-nice-attractive-stylish-cheerful-cheery-positive-carefree-guys-ladies-having-fun-hanging-out-best-1436812790.jpg,nice attractive stylish cheerful cheery positive carefree guys ladies having fun hanging out best,1436812790,1500,1101,"(116.95715531335149, 68.124923402967, 65.12978201634877)",46.0,81,1031
stock-photo-october-breast-cancer-awareness-month-woman-in-pink-t-shirt-with-hand-holding-pink-ribbon-for-1505793707.jpg,october breast cancer awareness month woman in pink t shirt with hand holding pink ribbon for,1505793707,1500,760,"(156.71053596491228, 137.74961228070177, 191.0687140350877)",164.0,80,690
stock-photo-skeleton-zombie-hands-rising-out-of-a-cemetery-halloween-background-1495866737.jpg,skeleton zombie hands rising out of a cemetery halloween background,1495866737,1500,790,"(104.23222278481013, 97.81092911392405, 79.13039831223628)",86.0,83,516
stock-photo-sky-background-on-sunset-nature-abstract-composition-1484678003.jpg,sky background on sunset nature abstract composition,1484678003,1500,1080,"(187.59124567901233, 165.44296543209876, 127.06730432098766)",161.0,80,1010
stock-photo-smart-city-and-abstract-dot-point-connect-with-gradient-line-and-aesthetic-intricate-wave-line-1499306735.jpg,smart city and abstract dot point connect with gradient line and aesthetic intricate wave line,1499306735,1500,724,"(83.82448250460405, 63.778288213627995, 52.552196132596684)",48.0,18,353
stock-photo-suicide-prevention-and-childhood-cancer-awareness-yellow-ribbon-for-supporting-people-living-and-1482160559.jpg,suicide prevention and childhood cancer awareness yellow ribbon for supporting people living and,1482160559,1500,1101,"(189.81397214653344, 200.04516742355435, 207.4990281562216)",236.0,4,0
stock-photo-top-view-of-beautiful-young-woman-sleeping-cozily-on-a-bed-in-his-bedroom-at-night-blue-nightly-1427337869.jpg,top view of beautiful young woman sleeping cozily on a bed in his bedroom at night blue nightly,1427337869,1500,945,"(53.38761481481482, 44.92429770723104, 32.21170088183422)",35.0,80,875
stock-photo-view-of-moon-limb-with-earth-rising-on-the-horizon-footprints-as-an-evidence-of-people-being-there-1454730908.jpg,view of moon limb with earth rising on the horizon footprints as an evidence of people being there,1454730908,1500,1101,"(61.12141992128368, 61.544439600363305, 60.34542113230397)",46.0,272,39
stock-photo-young-joyful-casual-family-of-two-kids-and-couple-sitting-on-sofa-and-watching-funny-video-or-1499295359.jpg,young joyful casual family of two kids and couple sitting on sofa and watching funny video or,1499295359,1500,1101,"(150.2616136845292, 165.12994489857707, 184.20725582803513)",186.0,44,3
stock-photo-zombie-rising-out-of-a-graveyard-cemetery-in-spooky-dark-night-full-moon-holiday-event-halloween-1492357433.jpg,zombie rising out of a graveyard cemetery in spooky dark night full moon holiday event halloween,1492357433,1500,1101,"(81.42522858007871, 64.83295852255526, 47.471327883742056)",46.0,248,140
